decade,ctr2,im3y20,mean,sd,V1
1140,fr_south,0.28868145111250204,1.4568099067042462e-5,3.313011667963623e-5,71
1140,it_north,0.9676598409803528,2.9507222082707598e-5,1.3034120826594178e-4,84
1140,it_south,0.23731323984797298,1.9152065196350237e-5,4.0470189348447515e-5,36
1140,nl,0.03936744322425307,1.2286967298456041e-5,2.91308341974281e-5,8
1140,uk_north,0.11276143417734012,2.5833089158611766e-5,6.430394018740609e-5,16
1140,uk_south,0.23412910999477868,2.9211367435405593e-5,5.42594012832905e-5,30
1160,be,0.15590168749224323,1.7513108008564935e-5,4.284922201355938e-5,36
1160,ch,0.011325807743996368,4.182351456424062e-6,1.0261619647963122e-5,7
1160,de_north,0.20975917100049987,1.000329872671551e-5,2.4325434415779643e-5,71
1160,de_south,0.18909513043626786,1.631677715387618e-5,3.9103969027634794e-5,31
1160,fr_north,0.9245007199244731,2.6196501088788126e-5,7.829582295767731e-5,125
1160,fr_south,0.2758861996527587,1.4050020353064013e-5,2.976998315421166e-5,70
1160,it_north,0.7316070312013789,2.2507522879599166e-5,5.498796781043906e-5,94
1160,it_south,0.21624599110014817,1.8117123919248357e-5,4.3345282225271384e-5,38
1160,nl,0.05268209747089516,1.5239252956579439e-5,2.2628839911380352e-5,12
1160,uk_north,0.026802755453197897,5.79644365337326e-6,1.3523533736201688e-5,12
1160,uk_south,0.16105150394731332,1.9181932342462344e-5,3.6765093352456913e-5,30
1180,be,0.12032072565517368,1.3025952761196772e-5,3.240505341175517e-5,28
1180,ch,0.04502939940713517,1.5452779480828862e-5,2.883410636932119e-5,9
1180,de_north,0.2991392779559779,1.2910629173758252e-5,2.967266673395123e-5,66
1180,de_south,0.15900805320694522,1.3652275539362386e-5,3.0207017918049532e-5,26
1180,fr_north,0.6240182390254642,1.7167883763218064e-5,4.129005704324929e-5,116
1180,fr_south,0.24899435809658282,1.2885238982435452e-5,3.034113296229341e-5,66
1180,it_north,0.7184806351455902,2.1809149925497616e-5,6.165862635814238e-5,80
1180,it_south,0.37747234446329253,3.218008051690292e-5,1.3257151788915347e-4,36
1180,nl,0.05777423198343514,1.4738324485570136e-5,2.668262804887221e-5,10
1180,uk_north,0.03386555914107509,7.1962514111933015e-6,1.7351217750168042e-5,10
1180,uk_south,0.12121479731723102,1.4304318777109614e-5,2.684401586359912e-5,23
1200,be,0.1268404681415652,1.3337588658418988e-5,6.0457152387860306e-5,26
1200,ch,0.07554864134626056,2.446523359658702e-5,6.449697353860076e-5,13
1200,de_north,0.26134103715907014,1.0532848507137089e-5,2.5521941644065e-5,57
1200,de_south,0.1376590537136698,1.171167719190699e-5,2.996928450830492e-5,27
1200,fr_north,0.7343675929654279,1.9951303873218217e-5,5.175752675993684e-5,124
1200,fr_south,0.1972778627152522,1.0472335848564356e-5,2.4508817307370707e-5,63
1200,it_north,0.5119874049454372,1.563415796217916e-5,3.521369187806121e-5,78
1200,it_south,0.29257148635916663,2.5156619635353177e-5,1.0044371280592537e-4,34
1200,nl,0.048362223801763186,1.1074473048262699e-5,1.5914713137418357e-5,9
1200,uk_north,0.05852395896236456,1.1948542050298813e-5,3.05829053166777e-5,13
1200,uk_south,0.2438666495433071,2.7772081715443464e-5,9.983630897867619e-5,29
1220,be,0.18786234214104777,1.8806921828115915e-5,6.250139691885145e-5,26
1220,ch,0.045665603782545215,1.3888565627294732e-5,2.5735553266766406e-5,9
1220,de_north,0.3361273832356144,1.2981901098240073e-5,3.213720227183819e-5,59
1220,de_south,0.14099259044798057,1.191520243792648e-5,3.491692173287142e-5,20
1220,fr_north,0.9337448543222586,2.5348015699493092e-5,6.62853183711626e-5,109
1220,fr_south,0.159341900224302,8.711492002859625e-6,2.122224737580532e-5,48
1220,it_north,0.5259601327903104,1.6110519581900643e-5,3.728089915609681e-5,79
1220,it_south,0.19316787841993954,1.6367385055070217e-5,4.365138633390422e-5,32
1220,nl,0.0701709676618018,1.325230739599662e-5,2.9950944911556135e-5,20
